date,deck_name,format,archetype,author,url,maindeck_cards,sideboard_cards
2026-04-13,Dimir Tempo,legacy,Dimir Tempo,,https://www.mtggoldfish.com/archetype/legacy-dimir-tempo,"[{""card_name"": ""Tamiyo, Inquisitive Student"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Murktide Regent"", ""avg_count"": 2.2, ""percentage"": 99}, {""card_name"": ""Brazen Borrower"", ""avg_count"": 1.2, ""percentage"": 98}, {""card_name"": ""Orcish Bowmasters"", ""avg_count"": 3.9, ""percentage"": 98}, {""card_name"": ""Nethergoyf"", ""avg_count"": 3.0, ""percentage"": 51}, {""card_name"": ""Barrowgoyf"", ""avg_count"": 2.1, ""percentage"": 51}, {""card_name"": ""Kaito, Bane of Nightmares"", ""avg_count"": 1.9, ""percentage"": 94}, {""card_name"": ""Brainstorm"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Fatal Push"", ""avg_count"": 3.8, ""percentage"": 100}, {""card_name"": ""Ponder"", ""avg_count"": 3.5, ""percentage"": 100}, {""card_name"": ""Thoughtseize"", ""avg_count"": 3.9, ""percentage"": 100}, {""card_name"": ""Daze"", ""avg_count"": 3.0, ""percentage"": 100}, {""card_name"": ""Force of Will"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Snuff Out"", ""avg_count"": 1.1, ""percentage"": 84}, {""card_name"": ""Mishra's Bauble"", ""avg_count"": 2.0, ""percentage"": 47}, {""card_name"": ""Polluted Delta"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Undercity Sewers"", ""avg_count"": 1.1, ""percentage"": 100}, {""card_name"": ""Underground Sea"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Wasteland"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Island"", ""avg_count"": 1.1, ""percentage"": 94}, {""card_name"": ""Swamp"", ""avg_count"": 1.0, ""percentage"": 94}, {""card_name"": ""Scalding Tarn"", ""avg_count"": 1.3, ""percentage"": 78}, {""card_name"": ""Bloodstained Mire"", ""avg_count"": 1.3, ""percentage"": 75}, {""card_name"": ""Flooded Strand"", ""avg_count"": 1.2, ""percentage"": 71}, {""card_name"": ""Misty Rainforest"", ""avg_count"": 1.2, ""percentage"": 61}, {""card_name"": ""Verdant Catacombs"", ""avg_count"": 1.1, ""percentage"": 46}]","[{""card_name"": ""Force of Negation"", ""avg_count"": 2.0, ""percentage"": 100}, {""card_name"": ""Consign to Memory"", ""avg_count"": 2.6, ""percentage"": 94}, {""card_name"": ""Hydroblast"", ""avg_count"": 1.8, ""percentage"": 91}, {""card_name"": ""Barrowgoyf"", ""avg_count"": 1.9, ""percentage"": 78}, {""card_name"": ""Toxic Deluge"", ""avg_count"": 1.4, ""percentage"": 73}, {""card_name"": ""Sheoldred's Edict"", ""avg_count"": 1.7, ""percentage"": 58}, {""card_name"": ""Surgical Extraction"", ""avg_count"": 1.8, ""percentage"": 54}, {""card_name"": ""Grafdigger's Cage"", ""avg_count"": 1.1, ""percentage"": 41}, {""card_name"": ""Engineered Explosives"", ""avg_count"": 1.5, ""percentage"": 39}, {""card_name"": ""Dauthi Voidwalker"", ""avg_count"": 1.8, ""percentage"": 35}]"
2026-04-13,Oops All Spells,legacy,Oops All Spells,,https://www.mtggoldfish.com/archetype/legacy-oops-all-spells,"[{""card_name"": ""Narcomoeba"", ""avg_count"": 2.3, ""percentage"": 100}, {""card_name"": ""Thassa's Oracle"", ""avg_count"": 1.0, ""percentage"": 100}, {""card_name"": ""Boggart Trawler"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Elvish Spirit Guide"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Simian Spirit Guide"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Undercity Informer"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Balustrade Spy"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Poxwalkers"", ""avg_count"": 2.3, ""percentage"": 88}, {""card_name"": ""Disciple of Freyalise"", ""avg_count"": 2.5, ""percentage"": 56}, {""card_name"": ""Chancellor of the Annex"", ""avg_count"": 2.0, ""percentage"": 35}, {""card_name"": ""Cabal Therapy"", ""avg_count"": 2.0, ""percentage"": 100}, {""card_name"": ""Dark Ritual"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Dread Return"", ""avg_count"": 1.0, ""percentage"": 100}, {""card_name"": ""Agadeem's Awakening"", ""avg_count"": 3.3, ""percentage"": 99}, {""card_name"": ""Pact of Negation"", ""avg_count"": 4.0, ""percentage"": 99}, {""card_name"": ""Reanimate"", ""avg_count"": 1.5, ""percentage"": 88}, {""card_name"": ""Memory's Journey"", ""avg_count"": 1.0, ""percentage"": 85}, {""card_name"": ""Fell the Profane"", ""avg_count"": 4.0, ""percentage"": 82}, {""card_name"": ""Cabal Ritual"", ""avg_count"": 3.4, ""percentage"": 72}, {""card_name"": ""Thoughtseize"", ""avg_count"": 3.3, ""percentage"": 56}, {""card_name"": ""Once Upon a Time"", ""avg_count"": 3.0, ""percentage"": 35}, {""card_name"": ""Lotus Petal"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Jack-o'-Lantern"", ""avg_count"": 1.0, ""percentage"": 65}, {""card_name"": ""Chrome Mox"", ""avg_count"": 1.9, ""percentage"": 54}, {""card_name"": ""Bridge from Below"", ""avg_count"": 1.1, ""percentage"": 63}]","[{""card_name"": ""Force of Vigor"", ""avg_count"": 4.0, ""percentage"": 74}, {""card_name"": ""Goblin Charbelcher"", ""avg_count"": 3.9, ""percentage"": 63}, {""card_name"": ""Leyline of the Void"", ""avg_count"": 3.8, ""percentage"": 45}, {""card_name"": ""Progenitus"", ""avg_count"": 1.0, ""percentage"": 42}, {""card_name"": ""Reanimate"", ""avg_count"": 2.2, ""percentage"": 35}]"
2026-04-13,Sneak And Show,legacy,Sneak And Show,,https://www.mtggoldfish.com/archetype/legacy-sneak-and-show,"[{""card_name"": ""Atraxa, Grand Unifier"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Emrakul, the Aeons Torn"", ""avg_count"": 2.9, ""percentage"": 100}, {""card_name"": ""Simian Spirit Guide"", ""avg_count"": 1.0, ""percentage"": 61}, {""card_name"": ""Archon of Cruelty"", ""avg_count"": 1.0, ""percentage"": 43}, {""card_name"": ""Brainstorm"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Ponder"", ""avg_count"": 3.9, ""percentage"": 100}, {""card_name"": ""Show and Tell"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Stock Up"", ""avg_count"": 3.5, ""percentage"": 100}, {""card_name"": ""Force of Will"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Flusterstorm"", ""avg_count"": 2.0, ""percentage"": 75}, {""card_name"": ""Lotus Petal"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Sneak Attack"", ""avg_count"": 3.9, ""percentage"": 100}, {""card_name"": ""Omniscience"", ""avg_count"": 1.6, ""percentage"": 99}, {""card_name"": ""Ancient Tomb"", ""avg_count"": 3.2, ""percentage"": 100}, {""card_name"": ""Scalding Tarn"", ""avg_count"": 3.9, ""percentage"": 100}, {""card_name"": ""Volcanic Island"", ""avg_count"": 2.8, ""percentage"": 100}, {""card_name"": ""Island"", ""avg_count"": 1.9, ""percentage"": 99}, {""card_name"": ""City of Traitors"", ""avg_count"": 1.8, ""percentage"": 99}, {""card_name"": ""Mountain"", ""avg_count"": 1.0, ""percentage"": 96}, {""card_name"": ""Thundering Falls"", ""avg_count"": 1.0, ""percentage"": 95}, {""card_name"": ""Misty Rainforest"", ""avg_count"": 1.3, ""percentage"": 85}, {""card_name"": ""Polluted Delta"", ""avg_count"": 1.1, ""percentage"": 75}, {""card_name"": ""Flooded Strand"", ""avg_count"": 1.1, ""percentage"": 68}, {""card_name"": ""Mistrise Village"", ""avg_count"": 1.0, ""percentage"": 43}]","[{""card_name"": ""Consign to Memory"", ""avg_count"": 1.9, ""percentage"": 96}, {""card_name"": ""Hexing Squelcher"", ""avg_count"": 2.4, ""percentage"": 93}, {""card_name"": ""Abrade"", ""avg_count"": 1.5, ""percentage"": 91}, {""card_name"": ""Brotherhood's End"", ""avg_count"": 1.1, ""percentage"": 88}, {""card_name"": ""Pyroblast"", ""avg_count"": 1.2, ""percentage"": 78}, {""card_name"": ""Disruptor Flute"", ""avg_count"": 1.0, ""percentage"": 74}, {""card_name"": ""Magus of the Moon"", ""avg_count"": 1.4, ""percentage"": 55}, {""card_name"": ""Fury"", ""avg_count"": 1.0, ""percentage"": 50}, {""card_name"": ""Grafdigger's Cage"", ""avg_count"": 1.8, ""percentage"": 44}, {""card_name"": ""Faerie Macabre"", ""avg_count"": 1.1, ""percentage"": 38}, {""card_name"": ""Red Elemental Blast"", ""avg_count"": 1.1, ""percentage"": 37}, {""card_name"": ""Mindbreak Trap"", ""avg_count"": 1.1, ""percentage"": 37}, {""card_name"": ""Pyroclasm"", ""avg_count"": 1.0, ""percentage"": 35}]"
