date,deck_name,format,archetype,author,url,maindeck_cards,sideboard_cards
2026-08-11,Dimir Tempo,legacy,Dimir Tempo,,https://www.mtggoldfish.com/archetype/legacy-dimir-tempo,"[{""card_name"": ""Nethergoyf"", ""avg_count"": 3.1, ""percentage"": 78}, {""card_name"": ""Tamiyo, Inquisitive Student"", ""avg_count"": 4.0, ""percentage"": 93}, {""card_name"": ""Orcish Bowmasters"", ""avg_count"": 3.4, ""percentage"": 92}, {""card_name"": ""Barrowgoyf"", ""avg_count"": 1.6, ""percentage"": 37}, {""card_name"": ""Murktide Regent"", ""avg_count"": 2.0, ""percentage"": 71}, {""card_name"": ""Kaito, Bane of Nightmares"", ""avg_count"": 2.0, ""percentage"": 90}, {""card_name"": ""Bloodstained Mire"", ""avg_count"": 1.1, ""percentage"": 43}, {""card_name"": ""Flooded Strand"", ""avg_count"": 1.6, ""percentage"": 73}, {""card_name"": ""Island"", ""avg_count"": 1.2, ""percentage"": 85}, {""card_name"": ""Misty Rainforest"", ""avg_count"": 1.4, ""percentage"": 70}, {""card_name"": ""Polluted Delta"", ""avg_count"": 3.8, ""percentage"": 100}, {""card_name"": ""Scalding Tarn"", ""avg_count"": 1.3, ""percentage"": 71}, {""card_name"": ""Swamp"", ""avg_count"": 1.0, ""percentage"": 81}, {""card_name"": ""Undercity Sewers"", ""avg_count"": 1.2, ""percentage"": 100}, {""card_name"": ""Underground Sea"", ""avg_count"": 3.9, ""percentage"": 100}, {""card_name"": ""Verdant Catacombs"", ""avg_count"": 1.5, ""percentage"": 44}, {""card_name"": ""Wasteland"", ""avg_count"": 4.0, ""percentage"": 100}]","[{""card_name"": ""Consign to Memory"", ""avg_count"": 2.5, ""percentage"": 97}, {""card_name"": ""Hydroblast"", ""avg_count"": 1.8, ""percentage"": 88}, {""card_name"": ""Surgical Extraction"", ""avg_count"": 1.5, ""percentage"": 43}, {""card_name"": ""Sheoldred's Edict"", ""avg_count"": 1.2, ""percentage"": 35}, {""card_name"": ""Barrowgoyf"", ""avg_count"": 1.9, ""percentage"": 90}, {""card_name"": ""Brazen Borrower"", ""avg_count"": 1.0, ""percentage"": 44}, {""card_name"": ""Force of Negation"", ""avg_count"": 1.7, ""percentage"": 94}, {""card_name"": ""Massacre"", ""avg_count"": 1.5, ""percentage"": 61}]"
2026-08-11,Doomsday,legacy,Doomsday,,https://www.mtggoldfish.com/archetype/legacy-doomsday,"[{""card_name"": ""Thassa's Oracle"", ""avg_count"": 1.2, ""percentage"": 100}, {""card_name"": ""Street Wraith"", ""avg_count"": 1.1, ""percentage"": 100}, {""card_name"": ""Lion's Eye Diamond"", ""avg_count"": 1.0, ""percentage"": 99}, {""card_name"": ""Lotus Petal"", ""avg_count"": 3.9, ""percentage"": 100}, {""card_name"": ""Mishra's Bauble"", ""avg_count"": 1.9, ""percentage"": 50}, {""card_name"": ""The Fantasticar"", ""avg_count"": 3.8, ""percentage"": 88}, {""card_name"": ""Bloodstained Mire"", ""avg_count"": 1.0, ""percentage"": 36}, {""card_name"": ""Cavern of Souls"", ""avg_count"": 1.0, ""percentage"": 100}, {""card_name"": ""Flooded Strand"", ""avg_count"": 1.4, ""percentage"": 88}, {""card_name"": ""Island"", ""avg_count"": 1.0, ""percentage"": 87}, {""card_name"": ""Marsh Flats"", ""avg_count"": 1.1, ""percentage"": 34}, {""card_name"": ""Misty Rainforest"", ""avg_count"": 1.2, ""percentage"": 82}, {""card_name"": ""Polluted Delta"", ""avg_count"": 3.9, ""percentage"": 100}, {""card_name"": ""Scalding Tarn"", ""avg_count"": 1.2, ""percentage"": 82}, {""card_name"": ""Swamp"", ""avg_count"": 1.0, ""percentage"": 82}, {""card_name"": ""Undercity Sewers"", ""avg_count"": 1.0, ""percentage"": 99}, {""card_name"": ""Underground Sea"", ""avg_count"": 3.8, ""percentage"": 100}]","[{""card_name"": ""Consign to Memory"", ""avg_count"": 1.7, ""percentage"": 50}, {""card_name"": ""Fatal Push"", ""avg_count"": 1.3, ""percentage"": 55}, {""card_name"": ""Dauthi Voidwalker"", ""avg_count"": 2.0, ""percentage"": 74}, {""card_name"": ""Long Goodbye"", ""avg_count"": 1.1, ""percentage"": 66}, {""card_name"": ""Orcish Bowmasters"", ""avg_count"": 2.4, ""percentage"": 52}, {""card_name"": ""Barrowgoyf"", ""avg_count"": 3.7, ""percentage"": 82}, {""card_name"": ""Force of Negation"", ""avg_count"": 2.2, ""percentage"": 99}, {""card_name"": ""Jace, Wielder of Mysteries"", ""avg_count"": 1.0, ""percentage"": 64}, {""card_name"": ""Murktide Regent"", ""avg_count"": 2.1, ""percentage"": 61}]"
2026-08-11,Rakdos Reanimator,legacy,Rakdos Reanimator,,https://www.mtggoldfish.com/archetype/legacy-rakdos-reanimator,"[{""card_name"": ""Atraxa, Grand Unifier"", ""avg_count"": 3.5, ""percentage"": 100}, {""card_name"": ""Raph & Mikey, Troublemakers"", ""avg_count"": 1.1, ""percentage"": 100}, {""card_name"": ""Archon of Cruelty"", ""avg_count"": 2.2, ""percentage"": 97}, {""card_name"": ""Griselbrand"", ""avg_count"": 3.7, ""percentage"": 100}, {""card_name"": ""Lotus Petal"", ""avg_count"": 3.9, ""percentage"": 100}, {""card_name"": ""Animate Dead"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Badlands"", ""avg_count"": 1.9, ""percentage"": 100}, {""card_name"": ""Bloodstained Mire"", ""avg_count"": 2.3, ""percentage"": 86}, {""card_name"": ""Polluted Delta"", ""avg_count"": 2.4, ""percentage"": 99}, {""card_name"": ""Raucous Theater"", ""avg_count"": 1.0, ""percentage"": 100}, {""card_name"": ""Swamp"", ""avg_count"": 2.7, ""percentage"": 100}, {""card_name"": ""Undercity Sewers"", ""avg_count"": 1.1, ""percentage"": 91}, {""card_name"": ""Underground Sea"", ""avg_count"": 1.0, ""percentage"": 93}, {""card_name"": ""Verdant Catacombs"", ""avg_count"": 2.0, ""percentage"": 79}]","[{""card_name"": ""Collective Brutality"", ""avg_count"": 2.3, ""percentage"": 47}, {""card_name"": ""Stronghold Gambit"", ""avg_count"": 3.8, ""percentage"": 89}, {""card_name"": ""Show and Tell"", ""avg_count"": 4.0, ""percentage"": 91}, {""card_name"": ""Leyline of the Void"", ""avg_count"": 4.0, ""percentage"": 44}]"
2026-08-11,Azorius Tempo 9bd90024 E52f 4284 821d F037ed910a44,legacy,Azorius Tempo 9bd90024 E52f 4284 821d F037ed910a44,,https://www.mtggoldfish.com/archetype/legacy-azorius-tempo-9bd90024-e52f-4284-821d-f037ed910a44,"[{""card_name"": ""Tamiyo, Inquisitive Student"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Phelia, Exuberant Shepherd"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Quantum Riddler"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Murktide Regent"", ""avg_count"": 2.3, ""percentage"": 70}, {""card_name"": ""Teferi, Time Raveler"", ""avg_count"": 1.7, ""percentage"": 40}, {""card_name"": ""Arid Mesa"", ""avg_count"": 1.1, ""percentage"": 38}, {""card_name"": ""Flooded Strand"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Island"", ""avg_count"": 2.5, ""percentage"": 84}, {""card_name"": ""Karakas"", ""avg_count"": 1.0, ""percentage"": 60}, {""card_name"": ""Marsh Flats"", ""avg_count"": 1.0, ""percentage"": 55}, {""card_name"": ""Meticulous Archive"", ""avg_count"": 1.0, ""percentage"": 100}, {""card_name"": ""Misty Rainforest"", ""avg_count"": 1.0, ""percentage"": 64}, {""card_name"": ""Mystic Sanctuary"", ""avg_count"": 1.0, ""percentage"": 51}, {""card_name"": ""Plains"", ""avg_count"": 1.0, ""percentage"": 84}, {""card_name"": ""Polluted Delta"", ""avg_count"": 1.5, ""percentage"": 95}, {""card_name"": ""Scalding Tarn"", ""avg_count"": 1.1, ""percentage"": 79}, {""card_name"": ""Tundra"", ""avg_count"": 2.5, ""percentage"": 100}, {""card_name"": ""Wasteland"", ""avg_count"": 3.9, ""percentage"": 100}]","[{""card_name"": ""Deafening Silence"", ""avg_count"": 1.8, ""percentage"": 37}, {""card_name"": ""Hydroblast"", ""avg_count"": 1.5, ""percentage"": 86}, {""card_name"": ""Prismatic Ending"", ""avg_count"": 1.8, ""percentage"": 79}, {""card_name"": ""Surgical Extraction"", ""avg_count"": 1.0, ""percentage"": 78}, {""card_name"": ""Celestial Purge"", ""avg_count"": 1.7, ""percentage"": 84}, {""card_name"": ""Containment Priest"", ""avg_count"": 2.0, ""percentage"": 99}, {""card_name"": ""Lavinia, Azorius Renegade"", ""avg_count"": 1.4, ""percentage"": 38}, {""card_name"": ""Wrath of the Skies"", ""avg_count"": 2.1, ""percentage"": 96}, {""card_name"": ""Force of Negation"", ""avg_count"": 1.7, ""percentage"": 93}, {""card_name"": ""Triumph of Saint Katherine"", ""avg_count"": 1.9, ""percentage"": 74}]"
2026-08-11,Sneak And Show,legacy,Sneak And Show,,https://www.mtggoldfish.com/archetype/legacy-sneak-and-show,"[{""card_name"": ""Simian Spirit Guide"", ""avg_count"": 1.6, ""percentage"": 72}, {""card_name"": ""Atraxa, Grand Unifier"", ""avg_count"": 3.9, ""percentage"": 100}, {""card_name"": ""Emrakul, the Aeons Torn"", ""avg_count"": 3.0, ""percentage"": 100}, {""card_name"": ""Lotus Petal"", ""avg_count"": 3.9, ""percentage"": 100}, {""card_name"": ""Sneak Attack"", ""avg_count"": 3.8, ""percentage"": 100}, {""card_name"": ""Omniscience"", ""avg_count"": 1.6, ""percentage"": 87}, {""card_name"": ""Ancient Tomb"", ""avg_count"": 3.5, ""percentage"": 100}, {""card_name"": ""City of Traitors"", ""avg_count"": 1.5, ""percentage"": 97}, {""card_name"": ""Flooded Strand"", ""avg_count"": 1.4, ""percentage"": 64}, {""card_name"": ""Island"", ""avg_count"": 2.0, ""percentage"": 98}, {""card_name"": ""Misty Rainforest"", ""avg_count"": 1.4, ""percentage"": 92}, {""card_name"": ""Mountain"", ""avg_count"": 1.0, ""percentage"": 82}, {""card_name"": ""Polluted Delta"", ""avg_count"": 1.3, ""percentage"": 70}, {""card_name"": ""Scalding Tarn"", ""avg_count"": 3.6, ""percentage"": 98}, {""card_name"": ""Thundering Falls"", ""avg_count"": 1.0, ""percentage"": 100}, {""card_name"": ""Volcanic Island"", ""avg_count"": 2.9, ""percentage"": 100}]","[{""card_name"": ""Consign to Memory"", ""avg_count"": 2.0, ""percentage"": 92}, {""card_name"": ""Grafdigger's Cage"", ""avg_count"": 1.8, ""percentage"": 80}, {""card_name"": ""Hydroblast"", ""avg_count"": 1.0, ""percentage"": 34}, {""card_name"": ""Pyroblast"", ""avg_count"": 1.6, ""percentage"": 57}, {""card_name"": ""Abrade"", ""avg_count"": 1.6, ""percentage"": 46}, {""card_name"": ""Hexing Squelcher"", ""avg_count"": 2.7, ""percentage"": 98}, {""card_name"": ""Brotherhood's End"", ""avg_count"": 1.6, ""percentage"": 82}, {""card_name"": ""Force of Negation"", ""avg_count"": 1.8, ""percentage"": 48}, {""card_name"": ""Magus of the Moon"", ""avg_count"": 1.7, ""percentage"": 49}]"
2026-08-11,Izzet Delver,legacy,Izzet Delver,,https://www.mtggoldfish.com/archetype/legacy-izzet-delver,"[{""card_name"": ""Delver of Secrets"", ""avg_count"": 3.2, ""percentage"": 35}, {""card_name"": ""Dragon's Rage Channeler"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Murktide Regent"", ""avg_count"": 2.2, ""percentage"": 76}, {""card_name"": ""Mishra's Bauble"", ""avg_count"": 3.8, ""percentage"": 100}, {""card_name"": ""Cori-Steel Cutter"", ""avg_count"": 3.5, ""percentage"": 90}, {""card_name"": ""Flooded Strand"", ""avg_count"": 2.1, ""percentage"": 86}, {""card_name"": ""Island"", ""avg_count"": 1.2, ""percentage"": 100}, {""card_name"": ""Misty Rainforest"", ""avg_count"": 1.9, ""percentage"": 83}, {""card_name"": ""Polluted Delta"", ""avg_count"": 2.1, ""percentage"": 95}, {""card_name"": ""Scalding Tarn"", ""avg_count"": 2.8, ""percentage"": 98}, {""card_name"": ""Thundering Falls"", ""avg_count"": 1.0, ""percentage"": 97}, {""card_name"": ""Volcanic Island"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Wasteland"", ""avg_count"": 4.0, ""percentage"": 100}]","[{""card_name"": ""Consign to Memory"", ""avg_count"": 2.4, ""percentage"": 95}, {""card_name"": ""Hydroblast"", ""avg_count"": 1.7, ""percentage"": 87}, {""card_name"": ""Meltdown"", ""avg_count"": 1.3, ""percentage"": 83}, {""card_name"": ""Pyroblast"", ""avg_count"": 2.7, ""percentage"": 95}, {""card_name"": ""Surgical Extraction"", ""avg_count"": 1.5, ""percentage"": 84}, {""card_name"": ""Unholy Heat"", ""avg_count"": 1.5, ""percentage"": 81}, {""card_name"": ""Price of Progress"", ""avg_count"": 1.3, ""percentage"": 46}, {""card_name"": ""Force of Negation"", ""avg_count"": 1.5, ""percentage"": 95}]"
2026-08-11,Boros Energy,legacy,Boros Energy,,https://www.mtggoldfish.com/archetype/legacy-boros-energy,"[{""card_name"": ""Guide of Souls"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Ocelot Pride"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Ajani, Nacatl Pariah"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Amped Raptor"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Hexing Squelcher"", ""avg_count"": 1.9, ""percentage"": 84}, {""card_name"": ""Sand Scout"", ""avg_count"": 2.4, ""percentage"": 88}, {""card_name"": ""Thalia, Guardian of Thraben"", ""avg_count"": 2.9, ""percentage"": 91}, {""card_name"": ""Voice of Victory"", ""avg_count"": 3.9, ""percentage"": 100}, {""card_name"": ""Static Prison"", ""avg_count"": 3.0, ""percentage"": 93}, {""card_name"": ""Goblin Bombardment"", ""avg_count"": 2.1, ""percentage"": 100}, {""card_name"": ""Arid Mesa"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Elegant Parlor"", ""avg_count"": 1.0, ""percentage"": 100}, {""card_name"": ""Flooded Strand"", ""avg_count"": 1.4, ""percentage"": 64}, {""card_name"": ""Karakas"", ""avg_count"": 2.0, ""percentage"": 100}, {""card_name"": ""Lazotep Quarry"", ""avg_count"": 2.0, ""percentage"": 93}, {""card_name"": ""Marsh Flats"", ""avg_count"": 1.6, ""percentage"": 93}, {""card_name"": ""Mountain"", ""avg_count"": 1.0, ""percentage"": 71}, {""card_name"": ""Plains"", ""avg_count"": 2.4, ""percentage"": 80}, {""card_name"": ""Plateau"", ""avg_count"": 2.2, ""percentage"": 100}, {""card_name"": ""Sunbaked Canyon"", ""avg_count"": 2.0, ""percentage"": 96}, {""card_name"": ""Wasteland"", ""avg_count"": 3.9, ""percentage"": 97}, {""card_name"": ""Windswept Heath"", ""avg_count"": 1.2, ""percentage"": 77}]","[{""card_name"": ""Deafening Silence"", ""avg_count"": 3.9, ""percentage"": 100}, {""card_name"": ""Pyroblast"", ""avg_count"": 2.5, ""percentage"": 95}, {""card_name"": ""Surgical Extraction"", ""avg_count"": 2.6, ""percentage"": 89}, {""card_name"": ""Containment Priest"", ""avg_count"": 2.6, ""percentage"": 91}, {""card_name"": ""Null Rod"", ""avg_count"": 1.8, ""percentage"": 55}]"
2026-08-11,Lands,legacy,Lands,,https://www.mtggoldfish.com/archetype/legacy-lands,"[{""card_name"": ""Mox Diamond"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Expedition Map"", ""avg_count"": 1.0, ""percentage"": 100}, {""card_name"": ""Grafdigger's Cage"", ""avg_count"": 1.0, ""percentage"": 47}, {""card_name"": ""Pithing Needle"", ""avg_count"": 1.0, ""percentage"": 95}, {""card_name"": ""Skateboard"", ""avg_count"": 1.0, ""percentage"": 88}, {""card_name"": ""Soul-Guide Lantern"", ""avg_count"": 1.0, ""percentage"": 40}, {""card_name"": ""Sphere of Resistance"", ""avg_count"": 4.0, ""percentage"": 82}, {""card_name"": ""Exploration"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Walk-In Closet // Forgotten Cellar"", ""avg_count"": 1.0, ""percentage"": 37}, {""card_name"": ""Ancient Tomb"", ""avg_count"": 1.8, ""percentage"": 96}, {""card_name"": ""Blast Zone"", ""avg_count"": 1.0, ""percentage"": 54}, {""card_name"": ""Bojuka Bog"", ""avg_count"": 1.0, ""percentage"": 100}, {""card_name"": ""Boseiju, Who Endures"", ""avg_count"": 3.5, ""percentage"": 100}, {""card_name"": ""Dark Depths"", ""avg_count"": 2.8, ""percentage"": 100}, {""card_name"": ""Forest"", ""avg_count"": 1.1, ""percentage"": 100}, {""card_name"": ""Ghost Quarter"", ""avg_count"": 1.2, ""percentage"": 100}, {""card_name"": ""Karakas"", ""avg_count"": 1.0, ""percentage"": 100}, {""card_name"": ""Maze of Ith"", ""avg_count"": 1.2, ""percentage"": 100}, {""card_name"": ""Otawara, Soaring City"", ""avg_count"": 1.0, ""percentage"": 40}, {""card_name"": ""The Tabernacle at Pendrell Vale"", ""avg_count"": 1.0, ""percentage"": 100}, {""card_name"": ""Thespian's Stage"", ""avg_count"": 3.3, ""percentage"": 100}, {""card_name"": ""Urza's Saga"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Wasteland"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Yavimaya, Cradle of Growth"", ""avg_count"": 3.6, ""percentage"": 100}]","[{""card_name"": ""Drop of Honey"", ""avg_count"": 1.9, ""percentage"": 54}, {""card_name"": ""Pithing Needle"", ""avg_count"": 1.0, ""percentage"": 33}, {""card_name"": ""Damping Sphere"", ""avg_count"": 1.3, ""percentage"": 39}, {""card_name"": ""Disruptor Flute"", ""avg_count"": 2.6, ""percentage"": 93}, {""card_name"": ""Choke"", ""avg_count"": 2.0, ""percentage"": 77}, {""card_name"": ""Dismember"", ""avg_count"": 1.7, ""percentage"": 61}, {""card_name"": ""Endurance"", ""avg_count"": 2.4, ""percentage"": 95}, {""card_name"": ""Force of Vigor"", ""avg_count"": 2.9, ""percentage"": 100}, {""card_name"": ""Icetill Explorer"", ""avg_count"": 1.3, ""percentage"": 47}]"
2026-08-11,Dimir Car,legacy,Dimir Car,,https://www.mtggoldfish.com/archetype/legacy-dimir-car,"[{""card_name"": ""Barrowgoyf"", ""avg_count"": 2.5, ""percentage"": 41}, {""card_name"": ""Brazen Borrower"", ""avg_count"": 1.2, ""percentage"": 48}, {""card_name"": ""Murktide Regent"", ""avg_count"": 2.0, ""percentage"": 41}, {""card_name"": ""Lotus Petal"", ""avg_count"": 4.0, ""percentage"": 96}, {""card_name"": ""Mishra's Bauble"", ""avg_count"": 3.7, ""percentage"": 96}, {""card_name"": ""The Fantasticar"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Bloodstained Mire"", ""avg_count"": 1.0, ""percentage"": 44}, {""card_name"": ""Flooded Strand"", ""avg_count"": 1.7, ""percentage"": 70}, {""card_name"": ""Island"", ""avg_count"": 1.1, ""percentage"": 96}, {""card_name"": ""Misty Rainforest"", ""avg_count"": 1.4, ""percentage"": 67}, {""card_name"": ""Polluted Delta"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Scalding Tarn"", ""avg_count"": 1.2, ""percentage"": 78}, {""card_name"": ""Swamp"", ""avg_count"": 1.0, ""percentage"": 96}, {""card_name"": ""Undercity Sewers"", ""avg_count"": 1.0, ""percentage"": 96}, {""card_name"": ""Underground Sea"", ""avg_count"": 3.7, ""percentage"": 100}, {""card_name"": ""Verdant Catacombs"", ""avg_count"": 1.0, ""percentage"": 33}]","[{""card_name"": ""Engineered Explosives"", ""avg_count"": 1.8, ""percentage"": 44}, {""card_name"": ""Consign to Memory"", ""avg_count"": 2.3, ""percentage"": 100}, {""card_name"": ""Duress"", ""avg_count"": 1.8, ""percentage"": 52}, {""card_name"": ""Fatal Push"", ""avg_count"": 2.7, ""percentage"": 56}, {""card_name"": ""Surgical Extraction"", ""avg_count"": 1.7, ""percentage"": 33}, {""card_name"": ""Dauthi Voidwalker"", ""avg_count"": 2.2, ""percentage"": 70}, {""card_name"": ""Barrowgoyf"", ""avg_count"": 2.8, ""percentage"": 56}, {""card_name"": ""Brazen Borrower"", ""avg_count"": 1.3, ""percentage"": 37}, {""card_name"": ""Force of Negation"", ""avg_count"": 2.0, ""percentage"": 96}]"
2026-08-11,Mardu Energy,legacy,Mardu Energy,,https://www.mtggoldfish.com/archetype/legacy-mardu-energy,"[{""card_name"": ""Guide of Souls"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Ocelot Pride"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Ajani, Nacatl Pariah"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Amped Raptor"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Orcish Bowmasters"", ""avg_count"": 3.5, ""percentage"": 100}, {""card_name"": ""Voice of Victory"", ""avg_count"": 3.5, ""percentage"": 100}, {""card_name"": ""Goblin Bombardment"", ""avg_count"": 1.9, ""percentage"": 100}, {""card_name"": ""Arid Mesa"", ""avg_count"": 3.8, ""percentage"": 100}, {""card_name"": ""Badlands"", ""avg_count"": 1.0, ""percentage"": 100}, {""card_name"": ""Elegant Parlor"", ""avg_count"": 1.0, ""percentage"": 100}, {""card_name"": ""Karakas"", ""avg_count"": 1.9, ""percentage"": 100}, {""card_name"": ""Marsh Flats"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Plains"", ""avg_count"": 1.1, ""percentage"": 100}, {""card_name"": ""Plateau"", ""avg_count"": 1.9, ""percentage"": 100}, {""card_name"": ""Scrubland"", ""avg_count"": 2.0, ""percentage"": 100}, {""card_name"": ""Shadowy Backstreet"", ""avg_count"": 1.0, ""percentage"": 90}, {""card_name"": ""Silent Clearing"", ""avg_count"": 1.0, ""percentage"": 61}, {""card_name"": ""Wasteland"", ""avg_count"": 4.0, ""percentage"": 100}]","[{""card_name"": ""Deafening Silence"", ""avg_count"": 2.6, ""percentage"": 100}, {""card_name"": ""Meltdown"", ""avg_count"": 1.5, ""percentage"": 39}, {""card_name"": ""Pyroblast"", ""avg_count"": 1.7, ""percentage"": 68}, {""card_name"": ""Red Elemental Blast"", ""avg_count"": 1.4, ""percentage"": 48}, {""card_name"": ""Surgical Extraction"", ""avg_count"": 2.3, ""percentage"": 39}, {""card_name"": ""Containment Priest"", ""avg_count"": 2.4, ""percentage"": 100}, {""card_name"": ""Null Rod"", ""avg_count"": 1.8, ""percentage"": 39}, {""card_name"": ""Stony Silence"", ""avg_count"": 2.4, ""percentage"": 35}, {""card_name"": ""Clarion Conqueror"", ""avg_count"": 1.9, ""percentage"": 35}, {""card_name"": ""Leyline of the Void"", ""avg_count"": 4.0, ""percentage"": 68}]"
