date,deck_name,format,archetype,author,url,maindeck_cards,sideboard_cards
2026-06-23,Tron,legacy,Tron,,https://www.mtggoldfish.com/archetype/legacy-tron,"[{""card_name"": ""Cityscape Leveler"", ""avg_count"": 1.0, ""percentage"": 76}, {""card_name"": ""Emrakul, the Aeons Torn"", ""avg_count"": 1.0, ""percentage"": 87}, {""card_name"": ""Karn, the Great Creator"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Ugin, Eye of the Storms"", ""avg_count"": 3.9, ""percentage"": 100}, {""card_name"": ""Kozilek's Command"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Candelabra of Tawnos"", ""avg_count"": 3.6, ""percentage"": 100}, {""card_name"": ""Expedition Map"", ""avg_count"": 1.0, ""percentage"": 47}, {""card_name"": ""Manifold Key"", ""avg_count"": 2.1, ""percentage"": 100}, {""card_name"": ""Pithing Needle"", ""avg_count"": 1.0, ""percentage"": 81}, {""card_name"": ""Voltaic Key"", ""avg_count"": 1.0, ""percentage"": 92}, {""card_name"": ""Disruptor Flute"", ""avg_count"": 2.0, ""percentage"": 98}, {""card_name"": ""Grim Monolith"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Trinisphere"", ""avg_count"": 4.0, ""percentage"": 98}, {""card_name"": ""The One Ring"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Ancient Tomb"", ""avg_count"": 4.0, ""percentage"": 99}, {""card_name"": ""Planar Nexus"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Urza's Mine"", ""avg_count"": 2.0, ""percentage"": 100}, {""card_name"": ""Urza's Power Plant"", ""avg_count"": 2.0, ""percentage"": 100}, {""card_name"": ""Urza's Saga"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Urza's Tower"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Urza's Workshop"", ""avg_count"": 4.0, ""percentage"": 100}]","[{""card_name"": ""Tormod's Crypt"", ""avg_count"": 1.0, ""percentage"": 99}, {""card_name"": ""Disruptor Flute"", ""avg_count"": 1.4, ""percentage"": 85}, {""card_name"": ""Liquimetal Coating"", ""avg_count"": 1.0, ""percentage"": 98}, {""card_name"": ""Dismember"", ""avg_count"": 1.9, ""percentage"": 76}, {""card_name"": ""Ensnaring Bridge"", ""avg_count"": 1.0, ""percentage"": 100}, {""card_name"": ""Faerie Macabre"", ""avg_count"": 1.9, ""percentage"": 44}, {""card_name"": ""Leyline of the Void"", ""avg_count"": 3.9, ""percentage"": 51}, {""card_name"": ""Mindbreak Trap"", ""avg_count"": 2.2, ""percentage"": 94}, {""card_name"": ""Paradox Engine"", ""avg_count"": 1.0, ""percentage"": 53}, {""card_name"": ""Mycosynth Lattice"", ""avg_count"": 1.0, ""percentage"": 100}, {""card_name"": ""Cityscape Leveler"", ""avg_count"": 1.0, ""percentage"": 61}]"
2026-06-23,Izzet Delver,legacy,Izzet Delver,,https://www.mtggoldfish.com/archetype/legacy-izzet-delver,"[{""card_name"": ""Delver of Secrets"", ""avg_count"": 3.5, ""percentage"": 43}, {""card_name"": ""Dragon's Rage Channeler"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Murktide Regent"", ""avg_count"": 2.3, ""percentage"": 79}, {""card_name"": ""Brainstorm"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Lightning Bolt"", ""avg_count"": 4.0, ""percentage"": 98}, {""card_name"": ""Ponder"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Preordain"", ""avg_count"": 1.3, ""percentage"": 51}, {""card_name"": ""Unholy Heat"", ""avg_count"": 1.2, ""percentage"": 47}, {""card_name"": ""Daze"", ""avg_count"": 3.6, ""percentage"": 100}, {""card_name"": ""Flow State"", ""avg_count"": 3.9, ""percentage"": 98}, {""card_name"": ""Force of Will"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Mishra's Bauble"", ""avg_count"": 3.7, ""percentage"": 100}, {""card_name"": ""Cori-Steel Cutter"", ""avg_count"": 3.4, ""percentage"": 94}, {""card_name"": ""Flooded Strand"", ""avg_count"": 2.2, ""percentage"": 91}, {""card_name"": ""Island"", ""avg_count"": 1.1, ""percentage"": 90}, {""card_name"": ""Misty Rainforest"", ""avg_count"": 2.1, ""percentage"": 93}, {""card_name"": ""Polluted Delta"", ""avg_count"": 2.2, ""percentage"": 96}, {""card_name"": ""Scalding Tarn"", ""avg_count"": 2.5, ""percentage"": 92}, {""card_name"": ""Thundering Falls"", ""avg_count"": 1.0, ""percentage"": 92}, {""card_name"": ""Volcanic Island"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Wasteland"", ""avg_count"": 4.0, ""percentage"": 98}]","[{""card_name"": ""Consign to Memory"", ""avg_count"": 2.2, ""percentage"": 98}, {""card_name"": ""Grafdigger's Cage"", ""avg_count"": 1.1, ""percentage"": 37}, {""card_name"": ""Hydroblast"", ""avg_count"": 1.8, ""percentage"": 89}, {""card_name"": ""Meltdown"", ""avg_count"": 1.1, ""percentage"": 81}, {""card_name"": ""Pyroblast"", ""avg_count"": 2.9, ""percentage"": 98}, {""card_name"": ""Surgical Extraction"", ""avg_count"": 1.6, ""percentage"": 89}, {""card_name"": ""Unholy Heat"", ""avg_count"": 1.3, ""percentage"": 74}, {""card_name"": ""Price of Progress"", ""avg_count"": 1.7, ""percentage"": 81}, {""card_name"": ""Force of Negation"", ""avg_count"": 1.7, ""percentage"": 97}]"
2026-06-23,Sneak And Show,legacy,Sneak And Show,,https://www.mtggoldfish.com/archetype/legacy-sneak-and-show,"[{""card_name"": ""Simian Spirit Guide"", ""avg_count"": 1.0, ""percentage"": 56}, {""card_name"": ""Atraxa, Grand Unifier"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Emrakul, the Aeons Torn"", ""avg_count"": 2.9, ""percentage"": 100}, {""card_name"": ""Brainstorm"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Flusterstorm"", ""avg_count"": 1.9, ""percentage"": 68}, {""card_name"": ""Ponder"", ""avg_count"": 3.9, ""percentage"": 99}, {""card_name"": ""Spell Pierce"", ""avg_count"": 1.9, ""percentage"": 56}, {""card_name"": ""Prismari Charm"", ""avg_count"": 1.5, ""percentage"": 39}, {""card_name"": ""Show and Tell"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Stock Up"", ""avg_count"": 3.6, ""percentage"": 100}, {""card_name"": ""Force of Will"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Lotus Petal"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Sneak Attack"", ""avg_count"": 3.8, ""percentage"": 100}, {""card_name"": ""Omniscience"", ""avg_count"": 1.6, ""percentage"": 98}, {""card_name"": ""Ancient Tomb"", ""avg_count"": 3.2, ""percentage"": 100}, {""card_name"": ""City of Traitors"", ""avg_count"": 1.8, ""percentage"": 91}, {""card_name"": ""Flooded Strand"", ""avg_count"": 1.2, ""percentage"": 78}, {""card_name"": ""Island"", ""avg_count"": 1.9, ""percentage"": 96}, {""card_name"": ""Misty Rainforest"", ""avg_count"": 1.2, ""percentage"": 89}, {""card_name"": ""Mountain"", ""avg_count"": 1.0, ""percentage"": 96}, {""card_name"": ""Polluted Delta"", ""avg_count"": 1.1, ""percentage"": 76}, {""card_name"": ""Scalding Tarn"", ""avg_count"": 3.9, ""percentage"": 99}, {""card_name"": ""Thundering Falls"", ""avg_count"": 1.0, ""percentage"": 95}, {""card_name"": ""Volcanic Island"", ""avg_count"": 2.9, ""percentage"": 100}]","[{""card_name"": ""Consign to Memory"", ""avg_count"": 2.5, ""percentage"": 93}, {""card_name"": ""Grafdigger's Cage"", ""avg_count"": 1.7, ""percentage"": 85}, {""card_name"": ""Pyroblast"", ""avg_count"": 1.3, ""percentage"": 40}, {""card_name"": ""Red Elemental Blast"", ""avg_count"": 1.2, ""percentage"": 56}, {""card_name"": ""Abrade"", ""avg_count"": 1.4, ""percentage"": 85}, {""card_name"": ""Disruptor Flute"", ""avg_count"": 1.2, ""percentage"": 67}, {""card_name"": ""Hexing Squelcher"", ""avg_count"": 2.7, ""percentage"": 94}, {""card_name"": ""Pyroclasm"", ""avg_count"": 1.0, ""percentage"": 38}, {""card_name"": ""Brotherhood's End"", ""avg_count"": 1.2, ""percentage"": 85}, {""card_name"": ""Magus of the Moon"", ""avg_count"": 1.8, ""percentage"": 78}]"
2026-06-23,Rakdos Reanimator,legacy,Rakdos Reanimator,,https://www.mtggoldfish.com/archetype/legacy-rakdos-reanimator,"[{""card_name"": ""Atraxa, Grand Unifier"", ""avg_count"": 3.2, ""percentage"": 100}, {""card_name"": ""Raph & Mikey, Troublemakers"", ""avg_count"": 1.7, ""percentage"": 97}, {""card_name"": ""Archon of Cruelty"", ""avg_count"": 2.2, ""percentage"": 96}, {""card_name"": ""Griselbrand"", ""avg_count"": 3.4, ""percentage"": 100}, {""card_name"": ""Cabal Therapy"", ""avg_count"": 2.3, ""percentage"": 88}, {""card_name"": ""Dark Ritual"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Faithless Looting"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Reanimate"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Thoughtseize"", ""avg_count"": 3.7, ""percentage"": 86}, {""card_name"": ""Collective Brutality"", ""avg_count"": 2.0, ""percentage"": 68}, {""card_name"": ""Shallow Grave"", ""avg_count"": 4.0, ""percentage"": 96}, {""card_name"": ""Unmask"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Lotus Petal"", ""avg_count"": 3.9, ""percentage"": 100}, {""card_name"": ""Animate Dead"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Badlands"", ""avg_count"": 2.0, ""percentage"": 100}, {""card_name"": ""Bloodstained Mire"", ""avg_count"": 2.3, ""percentage"": 85}, {""card_name"": ""Marsh Flats"", ""avg_count"": 2.2, ""percentage"": 42}, {""card_name"": ""Polluted Delta"", ""avg_count"": 3.1, ""percentage"": 95}, {""card_name"": ""Raucous Theater"", ""avg_count"": 1.0, ""percentage"": 100}, {""card_name"": ""Swamp"", ""avg_count"": 2.5, ""percentage"": 99}, {""card_name"": ""Undercity Sewers"", ""avg_count"": 1.1, ""percentage"": 98}, {""card_name"": ""Underground Sea"", ""avg_count"": 1.0, ""percentage"": 100}, {""card_name"": ""Verdant Catacombs"", ""avg_count"": 2.3, ""percentage"": 47}]","[{""card_name"": ""Collective Brutality"", ""avg_count"": 2.0, ""percentage"": 40}, {""card_name"": ""Dauthi Voidwalker"", ""avg_count"": 3.4, ""percentage"": 48}, {""card_name"": ""Stronghold Gambit"", ""avg_count"": 3.8, ""percentage"": 83}, {""card_name"": ""Show and Tell"", ""avg_count"": 4.0, ""percentage"": 100}]"
2026-06-23,Dimir Tempo,legacy,Dimir Tempo,,https://www.mtggoldfish.com/archetype/legacy-dimir-tempo,"[{""card_name"": ""Nethergoyf"", ""avg_count"": 3.3, ""percentage"": 42}, {""card_name"": ""Tamiyo, Inquisitive Student"", ""avg_count"": 3.9, ""percentage"": 98}, {""card_name"": ""Orcish Bowmasters"", ""avg_count"": 3.3, ""percentage"": 97}, {""card_name"": ""Barrowgoyf"", ""avg_count"": 1.9, ""percentage"": 65}, {""card_name"": ""Brazen Borrower"", ""avg_count"": 1.0, ""percentage"": 68}, {""card_name"": ""Murktide Regent"", ""avg_count"": 2.2, ""percentage"": 76}, {""card_name"": ""Kaito, Bane of Nightmares"", ""avg_count"": 1.3, ""percentage"": 66}, {""card_name"": ""Brainstorm"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Fatal Push"", ""avg_count"": 3.4, ""percentage"": 100}, {""card_name"": ""Ponder"", ""avg_count"": 3.6, ""percentage"": 100}, {""card_name"": ""Thoughtseize"", ""avg_count"": 3.6, ""percentage"": 100}, {""card_name"": ""Daze"", ""avg_count"": 2.9, ""percentage"": 100}, {""card_name"": ""Flow State"", ""avg_count"": 3.8, ""percentage"": 98}, {""card_name"": ""Snuff Out"", ""avg_count"": 1.2, ""percentage"": 86}, {""card_name"": ""Force of Will"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Mishra's Bauble"", ""avg_count"": 2.1, ""percentage"": 39}, {""card_name"": ""Bloodstained Mire"", ""avg_count"": 1.1, ""percentage"": 45}, {""card_name"": ""Flooded Strand"", ""avg_count"": 1.4, ""percentage"": 81}, {""card_name"": ""Island"", ""avg_count"": 1.1, ""percentage"": 90}, {""card_name"": ""Misty Rainforest"", ""avg_count"": 1.4, ""percentage"": 70}, {""card_name"": ""Polluted Delta"", ""avg_count"": 3.9, ""percentage"": 100}, {""card_name"": ""Scalding Tarn"", ""avg_count"": 1.3, ""percentage"": 72}, {""card_name"": ""Swamp"", ""avg_count"": 1.0, ""percentage"": 84}, {""card_name"": ""Undercity Sewers"", ""avg_count"": 1.2, ""percentage"": 100}, {""card_name"": ""Underground Sea"", ""avg_count"": 3.8, ""percentage"": 100}, {""card_name"": ""Wasteland"", ""avg_count"": 4.0, ""percentage"": 100}]","[{""card_name"": ""Consign to Memory"", ""avg_count"": 2.6, ""percentage"": 97}, {""card_name"": ""Hydroblast"", ""avg_count"": 2.1, ""percentage"": 82}, {""card_name"": ""Surgical Extraction"", ""avg_count"": 1.2, ""percentage"": 59}, {""card_name"": ""Dauthi Voidwalker"", ""avg_count"": 1.3, ""percentage"": 53}, {""card_name"": ""Null Rod"", ""avg_count"": 1.3, ""percentage"": 51}, {""card_name"": ""Sheoldred's Edict"", ""avg_count"": 1.6, ""percentage"": 51}, {""card_name"": ""Barrowgoyf"", ""avg_count"": 1.7, ""percentage"": 81}, {""card_name"": ""Force of Negation"", ""avg_count"": 1.7, ""percentage"": 90}, {""card_name"": ""Toxic Deluge"", ""avg_count"": 1.3, ""percentage"": 40}, {""card_name"": ""Massacre"", ""avg_count"": 1.6, ""percentage"": 40}]"
2026-06-23,Lands,legacy,Lands,,https://www.mtggoldfish.com/archetype/legacy-lands,,"[{""card_name"": ""Pithing Needle"", ""avg_count"": 1.0, ""percentage"": 34}, {""card_name"": ""Damping Sphere"", ""avg_count"": 1.8, ""percentage"": 51}, {""card_name"": ""Disruptor Flute"", ""avg_count"": 2.3, ""percentage"": 82}, {""card_name"": ""Choke"", ""avg_count"": 1.7, ""percentage"": 65}, {""card_name"": ""Dismember"", ""avg_count"": 2.1, ""percentage"": 84}, {""card_name"": ""Endurance"", ""avg_count"": 2.4, ""percentage"": 96}, {""card_name"": ""Force of Vigor"", ""avg_count"": 2.6, ""percentage"": 100}, {""card_name"": ""Icetill Explorer"", ""avg_count"": 1.3, ""percentage"": 57}]"
2026-06-23,Doomsday,legacy,Doomsday,,https://www.mtggoldfish.com/archetype/legacy-doomsday,,
2026-06-23,Eldrazi,legacy,Eldrazi,,https://www.mtggoldfish.com/archetype/legacy-eldrazi,"[{""card_name"": ""It That Heralds the End"", ""avg_count"": 3.0, ""percentage"": 90}, {""card_name"": ""Wastescape Battlemage"", ""avg_count"": 3.7, ""percentage"": 100}, {""card_name"": ""Eldrazi Linebreaker"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Glaring Fleshraker"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Thought-Knot Seer"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Reality Smasher"", ""avg_count"": 2.3, ""percentage"": 77}, {""card_name"": ""Sire of Seven Deaths"", ""avg_count"": 1.9, ""percentage"": 72}, {""card_name"": ""Kozilek's Command"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Eldrazi Confluence"", ""avg_count"": 1.7, ""percentage"": 37}, {""card_name"": ""Chalice of the Void"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Lotus Petal"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Abundant Countryside"", ""avg_count"": 4.0, ""percentage"": 95}, {""card_name"": ""Ancient Tomb"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Cavern of Souls"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Eldrazi Temple"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Eye of Ugin"", ""avg_count"": 3.5, ""percentage"": 100}, {""card_name"": ""Petrified Hamlet"", ""avg_count"": 3.9, ""percentage"": 93}, {""card_name"": ""Wastes"", ""avg_count"": 1.0, ""percentage"": 35}]",
2026-06-23,Boros Energy,legacy,Boros Energy,,https://www.mtggoldfish.com/archetype/legacy-boros-energy,"[{""card_name"": ""Guide of Souls"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Ocelot Pride"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Agate Instigator"", ""avg_count"": 2.2, ""percentage"": 50}, {""card_name"": ""Ajani, Nacatl Pariah"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Amped Raptor"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Hexing Squelcher"", ""avg_count"": 2.1, ""percentage"": 74}, {""card_name"": ""Sand Scout"", ""avg_count"": 3.0, ""percentage"": 79}, {""card_name"": ""Thalia, Guardian of Thraben"", ""avg_count"": 2.4, ""percentage"": 44}, {""card_name"": ""Voice of Victory"", ""avg_count"": 3.9, ""percentage"": 100}, {""card_name"": ""Swords to Plowshares"", ""avg_count"": 4.0, ""percentage"": 93}, {""card_name"": ""Static Prison"", ""avg_count"": 2.6, ""percentage"": 90}, {""card_name"": ""Goblin Bombardment"", ""avg_count"": 2.2, ""percentage"": 100}, {""card_name"": ""Arid Mesa"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Elegant Parlor"", ""avg_count"": 1.0, ""percentage"": 99}, {""card_name"": ""Flooded Strand"", ""avg_count"": 1.3, ""percentage"": 33}, {""card_name"": ""Karakas"", ""avg_count"": 1.9, ""percentage"": 100}, {""card_name"": ""Lazotep Quarry"", ""avg_count"": 2.0, ""percentage"": 82}, {""card_name"": ""Marsh Flats"", ""avg_count"": 1.9, ""percentage"": 99}, {""card_name"": ""Mountain"", ""avg_count"": 1.0, ""percentage"": 90}, {""card_name"": ""Plains"", ""avg_count"": 1.9, ""percentage"": 100}, {""card_name"": ""Plateau"", ""avg_count"": 2.2, ""percentage"": 100}, {""card_name"": ""Sunbaked Canyon"", ""avg_count"": 2.2, ""percentage"": 99}, {""card_name"": ""Wasteland"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Windswept Heath"", ""avg_count"": 1.8, ""percentage"": 64}]","[{""card_name"": ""Deafening Silence"", ""avg_count"": 3.5, ""percentage"": 99}, {""card_name"": ""Pyroblast"", ""avg_count"": 2.3, ""percentage"": 93}, {""card_name"": ""Red Elemental Blast"", ""avg_count"": 1.4, ""percentage"": 50}, {""card_name"": ""Surgical Extraction"", ""avg_count"": 2.0, ""percentage"": 69}, {""card_name"": ""Abrade"", ""avg_count"": 2.0, ""percentage"": 64}, {""card_name"": ""Containment Priest"", ""avg_count"": 2.0, ""percentage"": 38}, {""card_name"": ""Null Rod"", ""avg_count"": 1.5, ""percentage"": 50}, {""card_name"": ""Price of Progress"", ""avg_count"": 2.4, ""percentage"": 68}]"
2026-06-23,Mardu Energy,legacy,Mardu Energy,,https://www.mtggoldfish.com/archetype/legacy-mardu-energy,"[{""card_name"": ""Guide of Souls"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Ocelot Pride"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Ajani, Nacatl Pariah"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Amped Raptor"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Hexing Squelcher"", ""avg_count"": 2.4, ""percentage"": 46}, {""card_name"": ""Orcish Bowmasters"", ""avg_count"": 3.5, ""percentage"": 100}, {""card_name"": ""Voice of Victory"", ""avg_count"": 3.6, ""percentage"": 100}, {""card_name"": ""Cabal Therapy"", ""avg_count"": 3.0, ""percentage"": 100}, {""card_name"": ""Swords to Plowshares"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Thoughtseize"", ""avg_count"": 3.7, ""percentage"": 100}, {""card_name"": ""Goblin Bombardment"", ""avg_count"": 2.0, ""percentage"": 100}, {""card_name"": ""Arid Mesa"", ""avg_count"": 3.9, ""percentage"": 100}, {""card_name"": ""Badlands"", ""avg_count"": 1.0, ""percentage"": 100}, {""card_name"": ""Elegant Parlor"", ""avg_count"": 1.0, ""percentage"": 97}, {""card_name"": ""Karakas"", ""avg_count"": 1.8, ""percentage"": 100}, {""card_name"": ""Marsh Flats"", ""avg_count"": 4.0, ""percentage"": 100}, {""card_name"": ""Plains"", ""avg_count"": 1.1, ""percentage"": 100}, {""card_name"": ""Plateau"", ""avg_count"": 2.0, ""percentage"": 100}, {""card_name"": ""Scrubland"", ""avg_count"": 2.0, ""percentage"": 100}, {""card_name"": ""Shadowy Backstreet"", ""avg_count"": 1.0, ""percentage"": 100}, {""card_name"": ""Silent Clearing"", ""avg_count"": 1.0, ""percentage"": 77}, {""card_name"": ""Wasteland"", ""avg_count"": 4.0, ""percentage"": 100}]","[{""card_name"": ""Deafening Silence"", ""avg_count"": 2.1, ""percentage"": 41}, {""card_name"": ""Prismatic Ending"", ""avg_count"": 1.8, ""percentage"": 79}, {""card_name"": ""Pyroblast"", ""avg_count"": 1.4, ""percentage"": 69}, {""card_name"": ""Red Elemental Blast"", ""avg_count"": 1.2, ""percentage"": 69}, {""card_name"": ""Surgical Extraction"", ""avg_count"": 2.3, ""percentage"": 38}, {""card_name"": ""Containment Priest"", ""avg_count"": 2.5, ""percentage"": 92}, {""card_name"": ""Disruptor Flute"", ""avg_count"": 1.7, ""percentage"": 38}, {""card_name"": ""Null Rod"", ""avg_count"": 1.8, ""percentage"": 74}, {""card_name"": ""Clarion Conqueror"", ""avg_count"": 1.9, ""percentage"": 87}, {""card_name"": ""Leyline of the Void"", ""avg_count"": 4.0, ""percentage"": 59}]"
